country	date	public	name
AU	2004-01-01	True	New Year's Day
AU	2004-01-26	True	Australia Day
AU	2004-02-14	False	Valentine's Day
AU	2004-03-03	False	UN World Wildlife Day
AU	2004-03-17	False	Saint Patrick's Day
AU	2004-03-18	False	National Close the Gap Day
AU	2004-03-20	False	March Equinox
AU	2004-03-21	False	Harmony Day
AU	2004-04-09	True	Good Friday
AU	2004-04-11	False	Easter
AU	2004-04-12	True	Easter Monday
AU	2004-04-25	True	ANZAC Day
AU	2004-05-09	False	Mother's Day
AU	2004-06-21	False	June Solstice
AU	2004-09-05	False	Father's Day
AU	2004-09-22	False	September Equinox
AU	2004-12-21	False	December Solstice
AU	2004-12-25	True	Christmas Day
AU	2004-12-26	True	Boxing Day
AU	2005-01-01	True	New Year's Day
AU	2005-01-26	True	Australia Day
AU	2005-02-14	False	Valentine's Day
AU	2005-03-03	False	UN World Wildlife Day
AU	2005-03-17	False	National Close the Gap Day
AU	2005-03-17	False	Saint Patrick's Day
AU	2005-03-20	False	March Equinox
AU	2005-03-21	False	Harmony Day
AU	2005-03-25	True	Good Friday
AU	2005-03-27	False	Easter
AU	2005-03-28	True	Easter Monday
AU	2005-04-25	True	ANZAC Day
AU	2005-05-08	False	Mother's Day
AU	2005-06-21	False	June Solstice
AU	2005-09-04	False	Father's Day
AU	2005-09-22	False	September Equinox
AU	2005-12-21	False	December Solstice
AU	2005-12-25	True	Christmas Day
AU	2005-12-26	True	Boxing Day
AU	2006-01-01	True	New Year's Day
AU	2006-01-26	True	Australia Day
AU	2006-02-14	False	Valentine's Day
AU	2006-03-03	False	UN World Wildlife Day
AU	2006-03-16	False	National Close the Gap Day
AU	2006-03-17	False	Saint Patrick's Day
AU	2006-03-20	False	March Equinox
AU	2006-03-21	False	Harmony Day
AU	2006-04-14	True	Good Friday
AU	2006-04-16	False	Easter
AU	2006-04-17	True	Easter Monday
AU	2006-04-25	True	ANZAC Day
AU	2006-05-14	False	Mother's Day
AU	2006-06-21	False	June Solstice
AU	2006-09-03	False	Father's Day
AU	2006-09-23	False	September Equinox
AU	2006-12-22	False	December Solstice
AU	2006-12-25	True	Christmas Day
AU	2006-12-26	True	Boxing Day
AU	2007-01-01	True	New Year's Day
AU	2007-01-26	True	Australia Day
AU	2007-02-14	False	Valentine's Day
AU	2007-03-03	False	UN World Wildlife Day
AU	2007-03-15	False	National Close the Gap Day
AU	2007-03-17	False	Saint Patrick's Day
AU	2007-03-21	False	Harmony Day
AU	2007-03-21	False	March Equinox
AU	2007-04-06	True	Good Friday
AU	2007-04-08	False	Easter
AU	2007-04-09	True	Easter Monday
AU	2007-04-25	True	ANZAC Day
AU	2007-05-13	False	Mother's Day
AU	2007-06-21	False	June Solstice
AU	2007-09-02	False	Father's Day
AU	2007-09-23	False	September Equinox
AU	2007-12-22	False	December Solstice
AU	2007-12-25	True	Christmas Day
AU	2007-12-26	True	Boxing Day
AU	2008-01-01	True	New Year's Day
AU	2008-01-26	True	Australia Day
AU	2008-02-14	False	Valentine's Day
AU	2008-03-03	False	UN World Wildlife Day
AU	2008-03-17	False	Saint Patrick's Day
AU	2008-03-20	False	March Equinox
AU	2008-03-20	False	National Close the Gap Day
