    source              cat        min        max
1  gfk2015        desktoppc 2005-01-01 2014-12-01
2  gfk2012        desktoppc 2005-01-01 2012-08-01
3  gfk2015           laptop 2005-01-01 2014-12-01
4  gfk2012           laptop 2005-01-01 2012-08-01
5  gfk2015          tablets 2010-05-01 2014-12-01
6  gfk2012          tablets 2010-05-01 2012-08-01
7  gfk2015     phones_smart 2004-01-01 2014-12-01
8  gfk2012     phones_smart 2004-01-01 2012-08-01
9  gfk2015    phones_mobile 2004-01-01 2014-12-01
10 gfk2012    phones_mobile 2004-01-01 2012-08-01
11 gfk2015       camera_slr 2004-01-01 2014-12-01
12 gfk2012       camera_slr 2004-01-01 2012-08-01
13 gfk2015   camera_compact 2004-01-01 2014-12-01
14 gfk2012   camera_compact 2004-01-01 2012-08-01
15 gfk2015              dvd 2004-01-01 2014-12-01
16 gfk2012              dvd 2004-01-01 2012-08-01
17 gfk2015        microwave 2004-01-01 2014-12-01
18 gfk2012        microwave 2004-01-01 2012-08-01
19 gfk2015          cooling 2004-01-01 2014-12-01
20 gfk2012          cooling 2004-01-01 2012-08-01
21 gfk2015     tv_gen1_crtv 2004-01-01 2014-12-01
22 gfk2012     tv_gen1_crtv 2004-01-01 2012-08-01
23 gfk2015 tv_gen3_lcd_only 2004-01-01 2014-12-01
24 gfk2012 tv_gen3_lcd_only 2004-01-01 2012-08-01
25 gfk2015      tv_gen2_ptv 2004-01-01 2014-12-01
26 gfk2012      tv_gen2_ptv 2004-01-01 2012-08-01
27 gfk2015          washing 2004-01-01 2014-12-01
28 gfk2012          washing 2004-01-01 2012-08-01
29 gfk2015         minioven 2004-07-01 2014-12-01
30 gfk2012         minioven 2004-07-01 2012-08-01
31 gfk2015     tumbledryers 2004-07-01 2014-12-01
32 gfk2012     tumbledryers 2004-07-01 2012-08-01
