path,filename,full_filepath,confidential,timestamp_created,timestamp_modified,timestamp_last_accessed,size
"",.confidential.txt,.confidential.txt,TRUE,2021-09-24T08:22:46.115675Z,2022-01-05T08:25:31.113382Z,2022-01-05T10:37:01.559669Z,57
"",README.md,README.md,TRUE,2019-12-13T14:41:16.721539Z,2022-01-04T13:44:49.369146Z,2022-01-04T16:18:07.965935Z,3443
"",filestructure.R,filestructure.R,TRUE,2022-01-05T10:22:31.757883Z,2022-01-05T10:37:13.142784Z,2022-01-05T10:37:15.678036Z,953
"",install_packages.R,install_packages.R,TRUE,2022-01-04T13:38:11.750446Z,2021-10-22T07:33:11.779381Z,2022-01-05T10:22:31.778830Z,1994
"",log.txt,log.txt,TRUE,2022-01-05T08:36:51.707973Z,2022-01-05T08:36:57.752018Z,2022-01-05T08:37:03.326469Z,165848
"",makefile,makefile,TRUE,2019-12-13T14:41:16.714212Z,2021-09-25T21:21:55.408348Z,2022-01-04T13:56:09.914871Z,367
code/analysis/code/,analysis_main.R,code/analysis/code/analysis_main.R,TRUE,2021-04-30T08:40:44.227503Z,2021-09-24T14:47:25.961927Z,2022-01-05T10:37:02.723007Z,15777
code/analysis/code/,analysis_marketshare.R,code/analysis/code/analysis_marketshare.R,TRUE,2021-04-30T08:40:10.161636Z,2021-09-24T16:29:24.041439Z,2022-01-05T10:37:02.723007Z,6385
code/analysis/code/,audit_main.R,code/analysis/code/audit_main.R,TRUE,2021-04-30T08:40:10.332952Z,2021-09-25T08:56:00.372631Z,2022-01-05T10:37:02.723007Z,977
code/analysis/code/,audit_marketshare.Rmd,code/analysis/code/audit_marketshare.Rmd,TRUE,2021-04-30T08:40:10.192616Z,2021-04-30T08:40:10.192616Z,2022-01-05T10:37:02.724350Z,14023
code/analysis/code/,extract_elast_main.R,code/analysis/code/extract_elast_main.R,TRUE,2021-04-30T08:40:10.223598Z,2021-09-24T09:16:21.499481Z,2022-01-05T10:37:02.724350Z,2624
code/analysis/code/,extract_elast_marketshare.R,code/analysis/code/extract_elast_marketshare.R,TRUE,2021-04-30T08:40:10.207972Z,2021-09-24T09:47:24.691336Z,2022-01-05T10:37:02.725002Z,2487
code/analysis/code/,makefile,code/analysis/code/makefile,TRUE,2021-04-30T08:40:10.254728Z,2021-09-25T08:56:55.270973Z,2022-01-05T10:37:02.725002Z,1600
code/analysis/code/,preclean.R,code/analysis/code/preclean.R,TRUE,2021-04-30T08:40:44.228498Z,2021-09-24T09:29:39.655804Z,2022-01-05T10:37:02.725002Z,2884
code/analysis/code/,proc_analysis_main.R,code/analysis/code/proc_analysis_main.R,TRUE,2021-04-30T08:40:44.229496Z,2021-09-24T09:21:32.904200Z,2022-01-05T10:37:02.725002Z,18488
code/analysis/code/,proc_analysis_marketshare.R,code/analysis/code/proc_analysis_marketshare.R,TRUE,2021-04-30T08:40:10.316990Z,2021-09-24T16:32:03.710293Z,2022-01-05T10:37:02.725002Z,27870
code/analysis/code/,proc_auxilary.R,code/analysis/code/proc_auxilary.R,TRUE,2021-04-30T08:40:10.316990Z,2021-04-30T08:40:10.316990Z,2022-01-05T10:37:02.726343Z,1015
code/analysis/code/,proc_sbbe.R,code/analysis/code/proc_sbbe.R,TRUE,2019-12-13T14:41:16.695265Z,2019-12-13T14:41:16.695265Z,2022-01-05T10:37:02.726343Z,2119
code/analysis/output/,audit_main.txt,code/analysis/output/audit_main.txt,TRUE,2022-01-04T20:59:01.934818Z,2022-01-04T20:59:01.944881Z,2022-01-05T10:37:02.726999Z,1571
code/analysis/output/,audit_marketshare.html,code/analysis/output/audit_marketshare.html,TRUE,2022-01-04T21:02:51.037167Z,2022-01-04T21:02:51.081326Z,2022-01-05T10:37:02.726999Z,888710
code/analysis/output/,elast_results_ec_chinahk_withadv.csv,code/analysis/output/elast_results_ec_chinahk_withadv.csv,TRUE,2022-01-04T20:56:04.019917Z,2022-01-04T20:56:04.019917Z,2022-01-05T10:37:02.726999Z,72677
code/analysis/output/,elast_results_ec_chinahk_withadv_sur.csv,code/analysis/output/elast_results_ec_chinahk_withadv_sur.csv,TRUE,2022-01-04T20:56:04.053589Z,2022-01-04T20:56:04.053589Z,2022-01-05T10:37:02.726999Z,71672
code/analysis/output/,elast_results_ec_chinahk_withoutadv.csv,code/analysis/output/elast_results_ec_chinahk_withoutadv.csv,TRUE,2022-01-04T20:56:04.069210Z,2022-01-04T20:56:04.069210Z,2022-01-05T10:37:02.726999Z,55351
code/analysis/output/,elast_results_ec_chinahk_withoutadv_sur.csv,code/analysis/output/elast_results_ec_chinahk_withoutadv_sur.csv,TRUE,2022-01-04T20:56:04.084831Z,2022-01-04T20:56:04.084831Z,2022-01-05T10:37:02.728340Z,54596
code/analysis/output/,elast_results_ec_first60.csv,code/analysis/output/elast_results_ec_first60.csv,TRUE,2022-01-04T20:56:04.100452Z,2022-01-04T20:56:04.116074Z,2022-01-05T10:37:02.728340Z,685353
code/analysis/output/,elast_results_ec_first60_sur.csv,code/analysis/output/elast_results_ec_first60_sur.csv,TRUE,2022-01-04T20:56:04.216311Z,2022-01-04T20:56:04.216311Z,2022-01-05T10:37:02.728992Z,677582
code/analysis/output/,elast_results_ec_last60.csv,code/analysis/output/elast_results_ec_last60.csv,TRUE,2022-01-04T20:56:04.331854Z,2022-01-04T20:56:04.338360Z,2022-01-05T10:37:02.728992Z,686074
code/analysis/output/,elast_results_ec_last60_sur.csv,code/analysis/output/elast_results_ec_last60_sur.csv,TRUE,2022-01-04T20:56:04.416470Z,2022-01-04T20:56:04.416470Z,2022-01-05T10:37:02.728992Z,678008
code/analysis/output/,elast_results_ec_lntrend.csv,code/analysis/output/elast_results_ec_lntrend.csv,TRUE,2022-01-04T20:56:04.501087Z,2022-01-04T20:56:04.538832Z,2022-01-05T10:37:02.728992Z,1127124
code/analysis/output/,elast_results_ec_main.csv,code/analysis/output/elast_results_ec_main.csv,TRUE,2022-01-04T20:56:04.801796Z,2022-01-04T20:56:04.801796Z,2022-01-05T10:37:02.730335Z,1128014
code/analysis/output/,elast_results_ec_main_attributes.csv,code/analysis/output/elast_results_ec_main_attributes.csv,TRUE,2022-01-04T20:56:04.988787Z,2022-01-04T20:56:05.004404Z,2022-01-05T10:37:02.730335Z,1127466
code/analysis/output/,elast_results_ec_main_attributes_sur.csv,code/analysis/output/elast_results_ec_main_attributes_sur.csv,TRUE,2022-01-04T20:56:05.218008Z,2022-01-04T20:56:05.218008Z,2022-01-05T10:37:02.730988Z,1114200
code/analysis/output/,elast_results_ec_main_nc.csv,code/analysis/output/elast_results_ec_main_nc.csv,TRUE,2022-01-04T20:56:05.471806Z,2022-01-04T20:56:05.471806Z,2022-01-05T10:37:02.730988Z,1128155
code/analysis/output/,elast_results_ec_main_sur.csv,code/analysis/output/elast_results_ec_main_sur.csv,TRUE,2022-01-04T20:56:05.703188Z,2022-01-04T20:56:05.703188Z,2022-01-05T10:37:02.730988Z,1114485
code/analysis/output/,elast_results_ec_onlyocdstnc.csv,code/analysis/output/elast_results_ec_onlyocdstnc.csv,TRUE,2022-01-04T20:56:06.126629Z,2022-01-04T20:56:06.126629Z,2022-01-05T10:37:02.730988Z,376339
code/analysis/output/,elast_results_ec_onlyocllennc.csv,code/analysis/output/elast_results_ec_onlyocllennc.csv,TRUE,2022-01-04T20:56:06.372612Z,2022-01-04T20:56:06.372612Z,2022-01-05T10:37:02.732075Z,371832
code/analysis/output/,elast_results_ec_onlyocprnc.csv,code/analysis/output/elast_results_ec_onlyocprnc.csv,TRUE,2022-01-04T20:56:06.604332Z,2022-01-04T20:56:06.604332Z,2022-01-05T10:37:02.732075Z,378746
code/analysis/output/,elast_results_ec_remocdstnc.csv,code/analysis/output/elast_results_ec_remocdstnc.csv,TRUE,2022-01-04T20:56:06.820145Z,2022-01-04T20:56:06.842268Z,2022-01-05T10:37:02.732075Z,751179
code/analysis/output/,elast_results_ec_remocllennc.csv,code/analysis/output/elast_results_ec_remocllennc.csv,TRUE,2022-01-04T20:56:07.092443Z,2022-01-04T20:56:07.092443Z,2022-01-05T10:37:02.732075Z,755715
code/analysis/output/,elast_results_ec_remocprnc.csv,code/analysis/output/elast_results_ec_remocprnc.csv,TRUE,2022-01-04T20:56:07.336943Z,2022-01-04T20:56:07.343449Z,2022-01-05T10:37:02.733324Z,748134
code/analysis/output/,elast_results_ec_unrestrictedcompetition.csv,code/analysis/output/elast_results_ec_unrestrictedcompetition.csv,TRUE,2022-01-04T20:56:07.543962Z,2022-01-04T20:56:07.543962Z,2022-01-05T10:37:02.733324Z,1127820
code/analysis/output/,elast_results_ec_unrestrictedcompetition_sur.csv,code/analysis/output/elast_results_ec_unrestrictedcompetition_sur.csv,TRUE,2022-01-04T20:56:07.760071Z,2022-01-04T20:56:07.775692Z,2022-01-05T10:37:02.733980Z,1114259
code/analysis/output/,elast_results_marketshare.csv,code/analysis/output/elast_results_marketshare.csv,TRUE,2022-01-04T21:02:34.852568Z,2022-01-04T21:02:34.865433Z,2022-01-05T10:37:02.733980Z,1620366
code/analysis/output/,elast_results_salesresponse_linear.csv,code/analysis/output/elast_results_salesresponse_linear.csv,TRUE,2022-01-04T20:56:08.007412Z,2022-01-04T20:56:08.007412Z,2022-01-05T10:37:02.733980Z,1126181
code/analysis/output/,elast_results_salesresponse_linear_noldv.csv,code/analysis/output/elast_results_salesresponse_linear_noldv.csv,TRUE,2022-01-04T20:56:08.253298Z,2022-01-04T20:56:08.268923Z,2022-01-05T10:37:02.733980Z,1043001
code/analysis/output/,elasticities_main.txt,code/analysis/output/elasticities_main.txt,TRUE,2022-01-04T20:56:08.801619Z,2022-01-04T20:56:08.832863Z,2022-01-05T10:37:02.735319Z,1858
code/analysis/output/,elasticities_marketshare.txt,code/analysis/output/elasticities_marketshare.txt,TRUE,2022-01-04T21:02:34.865433Z,2022-01-04T21:02:34.883820Z,2022-01-05T10:37:02.735319Z,185
code/analysis/output/,predictions-kfold_results_ec_chinahk_withadv.csv,code/analysis/output/predictions-kfold_results_ec_chinahk_withadv.csv,TRUE,2022-01-04T20:56:04.027956Z,2022-01-04T20:56:04.053589Z,2022-01-05T10:37:02.735975Z,8716495
code/analysis/output/,predictions-kfold_results_ec_chinahk_withadv_sur.csv,code/analysis/output/predictions-kfold_results_ec_chinahk_withadv_sur.csv,TRUE,2022-01-04T20:56:04.053589Z,2022-01-04T20:56:04.069210Z,2022-01-05T10:37:02.735975Z,8716495
code/analysis/output/,predictions-kfold_results_ec_chinahk_withoutadv.csv,code/analysis/output/predictions-kfold_results_ec_chinahk_withoutadv.csv,TRUE,2022-01-04T20:56:04.069210Z,2022-01-04T20:56:04.084831Z,2022-01-05T10:37:02.735975Z,8745586
code/analysis/output/,predictions-kfold_results_ec_chinahk_withoutadv_sur.csv,code/analysis/output/predictions-kfold_results_ec_chinahk_withoutadv_sur.csv,TRUE,2022-01-04T20:56:04.100452Z,2022-01-04T20:56:04.100452Z,2022-01-05T10:37:02.735975Z,8745586
code/analysis/output/,predictions-kfold_results_ec_first60.csv,code/analysis/output/predictions-kfold_results_ec_first60.csv,TRUE,2022-01-04T20:56:04.116074Z,2022-01-04T20:56:04.216311Z,2022-01-05T10:37:02.737968Z,66203087
code/analysis/output/,predictions-kfold_results_ec_first60_sur.csv,code/analysis/output/predictions-kfold_results_ec_first60_sur.csv,TRUE,2022-01-04T20:56:04.253748Z,2022-01-04T20:56:04.331854Z,2022-01-05T10:37:02.739311Z,66203087
code/analysis/output/,predictions-kfold_results_ec_last60.csv,code/analysis/output/predictions-kfold_results_ec_last60.csv,TRUE,2022-01-04T20:56:04.353985Z,2022-01-04T20:56:04.416470Z,2022-01-05T10:37:02.739964Z,67500206
code/analysis/output/,predictions-kfold_results_ec_last60_sur.csv,code/analysis/output/predictions-kfold_results_ec_last60_sur.csv,TRUE,2022-01-04T20:56:04.438597Z,2022-01-04T20:56:04.501087Z,2022-01-05T10:37:02.741959Z,67500206
code/analysis/output/,predictions-kfold_results_ec_lntrend.csv,code/analysis/output/predictions-kfold_results_ec_lntrend.csv,TRUE,2022-01-04T20:56:04.585699Z,2022-01-04T20:56:04.801796Z,2022-01-05T10:37:02.743952Z,156343034
code/analysis/output/,predictions-kfold_results_ec_main.csv,code/analysis/output/predictions-kfold_results_ec_main.csv,TRUE,2022-01-04T20:56:04.833378Z,2022-01-04T20:56:04.988787Z,2022-01-05T10:37:02.746944Z,156342901
code/analysis/output/,predictions-kfold_results_ec_main_attributes.csv,code/analysis/output/predictions-kfold_results_ec_main_attributes.csv,TRUE,2022-01-04T20:56:05.039656Z,2022-01-04T20:56:05.218008Z,2022-01-05T10:37:02.748940Z,155975077
code/analysis/output/,predictions-kfold_results_ec_main_attributes_sur.csv,code/analysis/output/predictions-kfold_results_ec_main_attributes_sur.csv,TRUE,2022-01-04T20:56:05.255760Z,2022-01-04T20:56:05.471806Z,2022-01-05T10:37:02.751932Z,155975077
code/analysis/output/,predictions-kfold_results_ec_main_nc.csv,code/analysis/output/predictions-kfold_results_ec_main_nc.csv,TRUE,2022-01-04T20:56:05.533953Z,2022-01-04T20:56:05.703188Z,2022-01-05T10:37:02.754923Z,156415013
code/analysis/output/,predictions-kfold_results_ec_main_sur.csv,code/analysis/output/predictions-kfold_results_ec_main_sur.csv,TRUE,2022-01-04T20:56:05.740936Z,2022-01-04T20:56:05.919285Z,2022-01-05T10:37:02.757915Z,156342901
